food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,Protein_Category,Carbohydrate_Category,Fat_Category,Fiber_Category,Sugar_Category,Calorie_Category,Cholesterol_Category,Sodium_Category,Meal_Category
pork blade steak braised,694,44.7,16.6,20.1,5.3,0.087,0.0,68.2,0.0,256.1,0.4,148.2,0.4,0.0,1.1,0.0,0.1,0.9,9.5,3.5,1.2,0.0,0.032,0.3,0.0,71.3,0.5,4.5,52.8,0.06,599.3,976.8,0.1,115.063,High-Protein,Low-Carb,Not Low-Fat,Not High-Fiber,Low-Sugar,Not Low-Cal,Not Low-Chol,Low-Sodium,Dinner
pork boston steaks cooked,438,28.1,10.1,12.5,2.5,0.0,0.0,43.2,0.0,160.6,0.1,96.8,0.06,1.2,0.096,0.046,0.7,6.9,1.2,0.5,0.5,0.091,0.5,0.0,60.8,0.003,2.4,35.5,0.037,354.9,550.9,0.06,7.6,135.049,High-Protein,Low-Carb,Not Low-Fat,Not High-Fiber,Low-Sugar,Not Low-Cal,Not Low-Chol,Low-Sodium,Dinner
bacon cooked,43,3.1,1.1,1.4,0.5,0.068,0.0,3.5,0.0,10.1,0.2,1.9,0.053,0.0,0.031,0.0,0.037,0.066,1.0,0.1,0.047,0.0,0.0,0.009,0.0,1.2,0.047,0.1,3.1,0.071,35.4,47.8,0.064,6.747,Not High-Protein,Low-Carb,Low-Fat,Not High-Fiber,Low-Sugar,Low-Cal,Low-Chol,Low-Sodium,Snacks
pickled pork hocks,48,3.0,0.9,1.5,0.3,0.0,0.0,5.4,0.0,25.2,0.3,19.2,0.055,0.056,0.058,0.061,0.066,0.3,0.02,0.047,0.0,0.0,0.047,0.0,5.4,0.063,0.3,1.7,0.018,17.0,13.3,0.089,0.7,14.146,Not High-Protein,Low-Carb,Low-Fat,Not High-Fiber,Low-Sugar,Low-Cal,Not Low-Chol,Low-Sodium,Snacks
pork boston roast cooked,705,49.4,18.3,21.7,4.6,0.0,0.0,60.5,0.0,225.3,0.2,150.6,0.061,1.7,0.084,0.041,0.9,10.6,1.7,0.6,1.8,0.029,0.5,0.0,73.4,0.3,3.8,47.2,0.052,516.1,869.8,0.022,10.4,188.948,High-Protein,Low-Carb,Not Low-Fat,Not High-Fiber,Low-Sugar,Not Low-Cal,Not Low-Chol,Low-Sodium,Dinner
canadian style bacon grilled,43,2.0,0.7,0.9,0.2,0.3,0.0,5.7,0.0,13.6,0.4,14.5,0.0,0.2,0.07,0.03,0.054,1.6,0.1,0.1,0.0,0.048,0.061,0.0,2.4,0.043,0.2,4.9,0.023,69.6,91.7,0.058,0.4,10.6,Not High-Protein,Low-Carb,Low-Fat,Not High-Fiber,Low-Sugar,Low-Cal,Low-Chol,Low-Sodium,Snacks
ham steak,70,2.4,0.8,1.1,0.3,0.0,0.0,11.1,0.0,25.7,0.7,41.2,0.0,0.5,0.064,0.08,0.1,2.9,0.4,0.2,18.4,0.0,0.0,0.0,2.3,0.05,0.6,10.8,0.011,148.2,185.3,0.068,1.2,34.8,Not High-Protein,Low-Carb,Low-Fat,Not High-Fiber,Low-Sugar,Low-Cal,Not Low-Chol,Low-Sodium,Snacks
pork backfat,3683,402.3,146.1,190.3,46.9,0.0,0.0,13.2,0.0,258.6,0.064,34.9,0.032,0.4,0.072,0.035,0.2,4.5,0.5,0.2,0.5,0.003,0.0,0.0,9.1,0.094,0.8,9.1,0.082,172.4,294.8,0.063,1.7,425.932,Not High-Protein,Low-Carb,Not Low-Fat,Not High-Fiber,Low-Sugar,Not Low-Cal,Not Low-Chol,Low-Sodium,Lunch
bacon baked,44,3.5,1.1,1.5,0.4,0.1,0.0,2.9,0.0,8.7,0.2,1.0,0.0,0.052,0.09,0.095,0.053,0.058,0.9,0.077,0.084,0.0,0.0,0.038,0.047,0.8,0.054,0.1,2.4,0.078,41.0,43.7,0.003,6.673,Not High-Protein,Low-Carb,Low-Fat,Not High-Fiber,Low-Sugar,Low-Cal,Low-Chol,Low-Sodium,Snacks
pork arm picnic raw,5298,343.4,113.6,147.3,67.9,0.0,0.0,513.6,0.0,1729.4,2.3,1875.9,0.1,16.1,0.0,0.04,6.8,124.0,27.9,12.1,0.0,0.064,5.8,0.0,329.4,2.0,15.6,494.1,0.3,5490.0,11336.9,0.6,59.0,1202.1,High-Protein,Low-Carb,Not Low-Fat,Not High-Fiber,Low-Sugar,Not Low-Cal,Not Low-Chol,Low-Sodium,Dinner
salt pork raw,212,22.8,8.3,10.7,2.7,0.0,0.0,1.4,0.0,24.3,0.8,3.1,0.0,0.054,0.011,0.049,0.01,0.5,0.078,0.048,0.0,0.035,0.0,0.0,1.7,0.053,0.1,2.0,0.073,14.7,18.7,0.056,0.3,26.0,Not High-Protein,Low-Carb,Not Low-Fat,Not High-Fiber,Low-Sugar,Not Low-Cal,Not Low-Chol,Low-Sodium,Snacks
pork arm picnic cooked,5292,322.7,109.3,139.0,62.7,0.0,0.0,560.3,0.0,1936.7,2.2,1351.9,0.007,9.9,0.1,0.086,7.3,119.5,27.0,7.8,0.0,0.062,5.9,0.0,360.3,2.4,20.7,495.4,0.5,5404.8,8039.6,0.7,69.8,1264.074,High-Protein,Low-Carb,Not Low-Fat,Not High-Fiber,Low-Sugar,Not Low-Cal,Not Low-Chol,Low-Sodium,Dinner
pork top loin chops cooked,270,11.2,4.3,4.9,1.7,0.0,0.0,39.4,0.0,97.2,0.064,84.3,0.062,0.02,0.7,0.0,0.067,0.3,13.4,1.4,0.7,0.0,0.043,0.3,0.0,16.2,0.1,1.2,31.1,0.052,298.4,352.4,0.079,51.481,High-Protein,Low-Carb,Not Low-Fat,Not High-Fiber,Low-Sugar,Not Low-Cal,Not Low-Chol,Low-Sodium,Lunch
ground pork raw,329,26.5,9.8,11.8,2.4,0.0,0.0,21.1,0.0,90.0,0.033,76.3,0.034,0.9,0.055,0.005,0.3,5.4,0.8,0.5,0.9,0.0,0.0,0.0,17.5,0.08,1.1,23.8,0.083,218.8,358.8,0.039,2.8,67.15,High-Protein,Low-Carb,Not Low-Fat,Not High-Fiber,Low-Sugar,Not Low-Cal,Not Low-Chol,Low-Sodium,Dinner
pork shoulder raw,1070,81.6,28.3,36.3,8.7,0.0,0.0,77.9,0.0,322.1,0.3,290.4,0.087,3.5,0.077,0.034,1.2,17.4,3.3,1.6,3.2,0.025,0.9,0.0,68.0,0.4,4.8,81.6,0.083,825.6,1369.9,0.1,12.2,235.572,High-Protein,Low-Carb,Not Low-Fat,Not High-Fiber,Low-Sugar,Not Low-Cal,Not Low-Chol,Low-Sodium,Dinner
pork chitterlings cooked,66,5.8,2.7,2.0,0.3,0.0,0.0,3.5,0.0,78.4,0.078,19.2,0.0,0.0,0.099,0.024,0.056,0.093,0.065,0.059,0.0,0.0,0.0,0.083,0.0,7.1,0.056,0.4,2.5,0.033,18.7,4.0,0.07,9.329,Not High-Protein,Low-Carb,Not Low-Fat,Not High-Fiber,Low-Sugar,Low-Cal,Not Low-Chol,Low-Sodium,Snacks
pork breakfast strips cooked,52,4.1,1.4,1.9,0.6,0.1,0.0,3.3,0.0,11.9,0.2,3.0,0.0,0.039,0.02,0.02,0.073,0.9,0.1,0.068,0.0,0.066,0.057,0.0,1.6,0.054,0.2,2.9,0.085,29.9,52.7,0.061,0.4,9.3,Not High-Protein,Low-Carb,Low-Fat,Not High-Fiber,Low-Sugar,Low-Cal,Low-Chol,Low-Sodium,Snacks
pork blade roll roasted,1079,88.3,31.5,41.5,9.4,1.4,0.0,65.0,0.0,251.9,3.7,211.2,0.0,1.7,0.032,0.007,1.1,8.9,2.9,0.8,12.0,0.0,0.0,0.0,26.3,0.3,3.3,48.9,0.098,586.6,729.4,0.1,9.2,196.3,High-Protein,Low-Carb,Not Low-Fat,Not High-Fiber,Low-Sugar,Not Low-Cal,Not Low-Chol,Low-Sodium,Dinner
pork tail cooked,1089,98.5,34.2,46.4,10.8,0.0,0.0,46.8,0.0,354.8,0.093,128.4,0.0,0.2,0.002,0.061,0.2,3.1,1.2,0.7,0.0,0.0,0.0,0.0,38.5,0.2,2.2,19.3,0.087,129.3,431.8,0.087,4.5,186.0,High-Protein,Low-Carb,Not Low-Fat,Not High-Fiber,Low-Sugar,Not Low-Cal,Not Low-Chol,Low-Sodium,Dinner
